type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes,center_x_px,center_y_px,image_name,radius
Wild,45.0,19.0,2005,20,700.0,1500.0,3750.0,35.0,0.02,0.56,250.36,469.83,tile_block_258_21.jpg,24.43
Wild,44.675137,19.8605,2005,20,10.0,40.0,100.0,0.5,0.0,0.01,492.84,495.24,tile_block_331_152.jpg,3.99
Wild,44.58417,19.84982,2005,20,10.0,40.0,100.0,0.5,0.0,0.01,15.83,348.0,tile_block_351_151.jpg,3.99
Wild,44.56237,19.8399,2005,20,50.0,70.0,175.0,2.5,0.0,0.04,217.93,198.39,tile_block_356_149.jpg,5.28
Wild,44.57348,19.88981,2005,20,100.0,150.0,375.0,5.0,0.0,0.08,102.22,43.4,tile_block_354_157.jpg,7.73
Wild,44.51006,19.71739,2005,20,30.0,70.0,175.0,1.5,0.0,0.02,125.77,231.37,tile_block_367_130.jpg,5.28
Wild,44.59747,19.885,2005,20,50.0,120.0,300.0,2.5,0.0,0.04,268.73,445.4,tile_block_348_156.jpg,6.91
Wild,44.58572,19.7726,2005,20,40.0,100.0,250.0,2.0,0.0,0.03,32.42,86.54,tile_block_351_139.jpg,6.31
Wild,44.67122,19.79741,2005,20,40.0,70.0,175.0,2.0,0.0,0.03,93.93,346.48,tile_block_332_143.jpg,5.28
Wild,44.61022,19.74191,2005,20,5.0,20.0,50.0,0.25,0.0,0.0,198.16,399.98,tile_block_345_134.jpg,2.82
Wild,44.63288,19.7391,2005,20,5.0,20.0,50.0,0.25,0.0,0.0,14.11,439.46,tile_block_340_134.jpg,2.82
Wild,44.64405,19.9163,2005,20,140.0,400.0,1000.0,7.0,0.0,0.11,261.61,424.75,tile_block_338_161.jpg,12.62
Wild,44.67695,19.91533,2005,20,40.0,40.0,100.0,2.0,0.0,0.03,233.33,353.17,tile_block_331_161.jpg,3.99
Wild,44.65809,19.88689,2005,20,15.0,70.0,175.0,0.75,0.0,0.01,510.64,369.76,tile_block_335_156.jpg,5.28
Wild,44.65714,19.76416,2005,20,10.0,20.0,50.0,0.5,0.0,0.01,506.65,335.07,tile_block_335_137.jpg,2.82
Wild,44.65421,19.78856,2005,20,15.0,30.0,75.0,0.75,0.0,0.01,388.35,177.58,tile_block_336_141.jpg,3.45
Wild,44.65873,19.81262,2005,20,10.0,20.0,50.0,0.5,0.0,0.01,255.34,215.56,tile_block_335_145.jpg,2.82
Wild,44.64129,19.78826,2005,20,15.0,50.0,125.0,0.75,0.0,0.01,343.23,76.39,tile_block_339_141.jpg,4.46
Wild,44.6455,19.8223,2005,20,5.0,15.0,37.5,0.25,0.0,0.0,489.55,160.3,tile_block_338_146.jpg,2.44
