type,lat,lon,start_year,total_mass_ton
Nesanitarne deponije,45.29047,20.02215,1988,60199.0
Nesanitarne deponije,45.22377,20.0215,1989,105552.0
Nesanitarne deponije,45.18149,20.04076,1990,38570.0
Nesanitarne deponije,44.6998136,21.5859578,1995,120000.0
Nesanitarne deponije,42.3821709,22.0594989,1992,51447.0
Nesanitarne deponije,44.477232,19.822436,1980,472500.0
Nesanitarne deponije,44.38174,20.20693,2004,144300.0
Nesanitarne deponije,44.45318,19.422962,1994,0.0
Nesanitarne deponije,45.375949,19.2052207,1990,167650.0
Nesanitarne deponije,44.5931,21.2322,2006,42.084999999999994
Nesanitarne deponije,43.7195,21.389,1980,225000.0
Nesanitarne deponije,43.035496,20.425255,1999,1170000.0
Nesanitarne deponije,45.6895345,19.6988385,1990,10080.0
Nesanitarne deponije,45.7958676,20.1013361,1985,340000.0
Nesanitarne deponije,45.615375,19.736438,2006,399000.0
Nesanitarne deponije,43.8136797,20.0429123,1975,37400.0
Nesanitarne deponije,43.026099,22.812156,1970,27500.0
Nesanitarne deponije,43.182,22.569,1990,0.0
Nesanitarne deponije,43.109,22.56,2010,30000.0
Nesanitarne deponije,43.2435,19.382,1972,556500.0
Nesanitarne deponije,43.46204,20.061617,1965,39.0
Nesanitarne deponije,45.12371,20.171451,1989,121680.0
Nesanitarne deponije,45.016111,19.846553,1984,738000.0
Nesanitarne deponije,45.0,19.0,1974,0.0
Nesanitarne deponije,45.0,19.0,1974,765000.0
Nesanitarne deponije,45.592039,20.046126,1965,1200000.0
Nesanitarne deponije,44.7743084,19.4726886,1990,140160.0
Nesanitarne deponije,44.833814,19.4535269,1990,187200.0
Nesanitarne deponije,44.56,22.56,1997,238000.0
Nesanitarne deponije,44.239864,22.556559,1959,528000.0
Nesanitarne deponije,45.4239165,19.8547558,1965,401500.0
Nesanitarne deponije,44.404548,21.946732,2004,37380.0
Nesanitarne deponije,45.479018,19.261676,1999,332800.0
Nesanitarne deponije,46.089054,20.017072,1981,0.0
Nesanitarne deponije,44.632601,19.789862,1994,65100.0
Nesanitarne deponije,43.3999438,21.0383712,1969,208000.0
Nesanitarne deponije,45.6043274,20.1837872,1951,663040.0
Nesanitarne deponije,44.0,21.0,1980,328000.0
Nesanitarne deponije,45.246702,19.499267,1984,1845000.0
Nesanitarne deponije,45.0,18.0,1978,399500.0
Nesanitarne deponije,42.324183,21.633724,1995,222600.0
Nesanitarne deponije,43.7460333,19.7044344,1981,0.0
Nesanitarne deponije,43.7105736,19.6739422,2002,154.0
Nesanitarne deponije,43.459331,19.796631,1986,156000.0
Nesanitarne deponije,44.0,21.0,1964,0.0
Nesanitarne deponije,44.1,21.3,1995,380.0
Nesanitarne deponije,43.5672622,21.6806705,1989,385200.0
Nesanitarne deponije,42.676906,22.056099,1970,0.0
Nesanitarne deponije,45.9406629,20.1653909,1996,110200.0
Nesanitarne deponije,44.1143,21.731,1992,2040.0
Nesanitarne deponije,44.8511724,21.0400591,1950,62400.0
Nesanitarne deponije,43.65,21.82,1970,572000.0
Nesanitarne deponije,43.291414,20.6367963,1984,287000.0
Nesanitarne deponije,45.362196,19.311885,1987,38000.0
Nesanitarne deponije,45.73294,19.372397,1990,106400.0
