type,lat,lon,start_year,total_mass_ton
РСД „Дубоко“ Ужице,43.871835,19.885259,2015,72051
РСД „Дубоко“ Ужице,43.871835,19.885259,2016,77930
РСД „Дубоко“ Ужице,43.871835,19.885259,2017,75295
РСД „Дубоко“ Ужице,43.871835,19.885259,2018,79764
РСД „Дубоко“ Ужице,43.871835,19.885259,2019,82214
РСД „Дубоко“ Ужице,43.871835,19.885259,2020,83541
РСД „Дубоко“ Ужице,43.871835,19.885259,2021,87905
РСД „Дубоко“ Ужице,43.871835,19.885259,2022,90082
РСД „Дубоко“ Ужице,43.871835,19.885259,2023,83376
РСД „Дубоко“ Ужице,43.871835,19.885259,2024,35328
РСД „Врбак“ Лапово ,44.214862,21.128698,2015,35580
РСД „Врбак“ Лапово ,44.214862,21.128698,2016,49749
РСД „Врбак“ Лапово ,44.214862,21.128698,2017,41266
РСД „Врбак“ Лапово ,44.214862,21.128698,2018,35264
РСД „Врбак“ Лапово ,44.214862,21.128698,2019,68166
РСД „Врбак“ Лапово ,44.214862,21.128698,2020,57396
РСД „Врбак“ Лапово ,44.214862,21.128698,2021,50404
РСД „Врбак“ Лапово ,44.214862,21.128698,2022,29616
РСД „Врбак“ Лапово ,44.214862,21.128698,2023,25132
РСД „Врбак“ Лапово ,44.214862,21.128698,2024,32388
РСД Кикинда,45.870581,20.491509,2015,54008
РСД Кикинда,45.870581,20.491509,2016,50903
РСД Кикинда,45.870581,20.491509,2017,50411
РСД Кикинда,45.870581,20.491509,2018,55056
РСД Кикинда,45.870581,20.491509,2019,50231
РСД Кикинда,45.870581,20.491509,2020,37478
РСД Кикинда,45.870581,20.491509,2021,29717
РСД Кикинда,45.870581,20.491509,2022,25484
РСД Кикинда,45.870581,20.491509,2023,24592
РСД Кикинда,45.870581,20.491509,2024,21937
РСД „Гигош“ Јагодина,43.976463,21.281034,2015,62760
РСД „Гигош“ Јагодина,43.976463,21.281034,2016,74113
РСД „Гигош“ Јагодина,43.976463,21.281034,2017,62893
РСД „Гигош“ Јагодина,43.976463,21.281034,2018,61660
РСД „Гигош“ Јагодина,43.976463,21.281034,2019,75360
РСД „Гигош“ Јагодина,43.976463,21.281034,2020,69042
РСД „Гигош“ Јагодина,43.976463,21.281034,2021,75835
РСД „Гигош“ Јагодина,43.976463,21.281034,2022,80276
РСД „Гигош“ Јагодина,43.976463,21.281034,2023,78297
РСД „Гигош“ Јагодина,43.976463,21.281034,2024,97846
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2015,64269
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2016,63380
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2017,69255
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2018,71102
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2019,71369
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2020,82953
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2021,77388
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2022,71980
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2023,86509
РСД „Жељковац – Д2“ Лесковац,42.949211,21.982257,2024,85060
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2015,36956
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2016,31685
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2017,29987
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2018,28456
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2019,30903
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2020,30654
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2021,33918
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2022,36184
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2023,33483
РСД „Мунтина падина“ Пирот ,43.19456,22.557341,2024,18039
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2015,44545
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2016,48126
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2017,50912
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2018,51080
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2019,55369
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2020,56680
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2021,58574
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2022,72076
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2023,75755
РСД „Јарак“ Сремска Митровица ,44.94357,19.68577,2024,80839
РСД Панчево ,44.884727,20.784216,2016,34093
РСД Панчево ,44.884727,20.784216,2017,25815
РСД Панчево ,44.884727,20.784216,2018,25358
РСД Панчево ,44.884727,20.784216,2019,28562
РСД Панчево ,44.884727,20.784216,2020,76225
РСД Панчево ,44.884727,20.784216,2021,41817
РСД Панчево ,44.884727,20.784216,2022,42689
РСД Панчево ,44.884727,20.784216,2023,30420
РСД Панчево ,44.884727,20.784216,2024,47462
РСД Суботица,45.984658,19.796886,2019,4056
РСД Суботица,45.984658,19.796886,2020,27382
РСД Суботица,45.984658,19.796886,2021,27978
РСД Суботица,45.984658,19.796886,2022,28359
РСД Суботица,45.984658,19.796886,2023,60991
РСД Суботица,45.984658,19.796886,2024,86916
"СД „Метерис“, Врање",42.566426,21.937706,2015,180
"СД „Метерис“, Врање",42.566426,21.937706,2016,19890
"СД „Метерис“, Врање",42.566426,21.937706,2017,16841
"СД „Метерис“, Врање",42.566426,21.937706,2018,17247
"СД „Метерис“, Врање",42.566426,21.937706,2019,20087
"СД „Метерис“, Врање",42.566426,21.937706,2020,21946
"СД „Метерис“, Врање",42.566426,21.937706,2021,23504
"СД „Метерис“, Врање",42.566426,21.937706,2022,19519
"СД „Метерис“, Врање",42.566426,21.937706,2023,17854
"СД „Метерис“, Врање",42.566426,21.937706,2024,19704
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2015,14879
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2016,13628
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2017,15203
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2018,14655
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2019,14580
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2020,15361
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2021,15095
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2022,15699
"СД „Вујан"", Горњи Милановац ",43.99035,20.42673,2023,13915
