type,lat,lon,start_year,life_years,total_mass_ton,area_m2,volume_m3,annual_msw_ton,annual_ch4_tonnes,annual_co2e_tonnes
РСД „Дубоко“ Ужице,43.871835,19.885259,2015,10,72051,72051.0,180127.5,7205.1,2.55,63.65
РСД „Дубоко“ Ужице,43.871835,19.885259,2016,9,77930,77930.0,194825.0,8658.89,2.76,69.06
РСД „Дубоко“ Ужице,43.871835,19.885259,2017,8,75295,75295.0,188237.5,9411.88,2.67,66.71
РСД „Дубоко“ Ужице,43.871835,19.885259,2018,7,79764,79764.0,199410.0,11394.86,2.81,70.33
РСД „Дубоко“ Ужице,43.871835,19.885259,2019,6,82214,82214.0,205535.0,13702.33,2.86,71.6
РСД „Дубоко“ Ужице,43.871835,19.885259,2020,5,83541,83541.0,208852.5,16708.2,2.84,70.97
РСД „Дубоко“ Ужице,43.871835,19.885259,2021,4,87905,87905.0,219762.5,21976.25,2.85,71.15
РСД „Дубоко“ Ужице,43.871835,19.885259,2022,3,90082,90082.0,225205.0,30027.33,2.63,65.87
РСД „Дубоко“ Ужице,43.871835,19.885259,2023,2,83376,83376.0,208440.0,41688.0,1.86,46.48
РСД „Дубоко“ Ужице,43.871835,19.885259,2024,1,35328,35328.0,88320.0,35328.0,0.0,0.0
РСД „Врбак“ Лапово ,44.214862,21.128698,2015,10,35580,35580.0,88950.0,3558.0,1.26,31.43
РСД „Врбак“ Лапово ,44.214862,21.128698,2016,9,49749,49749.0,124372.5,5527.67,1.76,44.09
РСД „Врбак“ Лапово ,44.214862,21.128698,2017,8,41266,41266.0,103165.0,5158.25,1.46,36.56
РСД „Врбак“ Лапово ,44.214862,21.128698,2018,7,35264,35264.0,88160.0,5037.71,1.24,31.09
РСД „Врбак“ Лапово ,44.214862,21.128698,2019,6,68166,68166.0,170415.0,11361.0,2.37,59.36
РСД „Врбак“ Лапово ,44.214862,21.128698,2020,5,57396,57396.0,143490.0,11479.2,1.95,48.76
РСД „Врбак“ Лапово ,44.214862,21.128698,2021,4,50404,50404.0,126010.0,12601.0,1.63,40.79
РСД „Врбак“ Лапово ,44.214862,21.128698,2022,3,29616,29616.0,74040.0,9872.0,0.87,21.66
РСД „Врбак“ Лапово ,44.214862,21.128698,2023,2,25132,25132.0,62830.0,12566.0,0.56,14.01
РСД „Врбак“ Лапово ,44.214862,21.128698,2024,1,32388,32388.0,80970.0,32388.0,0.0,0.0
РСД Кикинда,45.870581,20.491509,2015,10,54008,54008.0,135020.0,5400.8,1.91,47.71
РСД Кикинда,45.870581,20.491509,2016,9,50903,50903.0,127257.5,5655.89,1.8,45.11
РСД Кикинда,45.870581,20.491509,2017,8,50411,50411.0,126027.5,6301.38,1.79,44.66
РСД Кикинда,45.870581,20.491509,2018,7,55056,55056.0,137640.0,7865.14,1.94,48.54
РСД Кикинда,45.870581,20.491509,2019,6,50231,50231.0,125577.5,8371.83,1.75,43.75
РСД Кикинда,45.870581,20.491509,2020,5,37478,37478.0,93695.0,7495.6,1.27,31.84
